Word,N,Mean,SD
drift,24,1.958333333,1.267629306
drifter,26,3.230769231,2.159772068
driftwood,24,5.416666667,1.585715218
drill,23,5.739130435,1.483772566
drilling,28,3.928571429,1.698115981
drink,27,6.074074074,1.268734255
drinkable,23,3,2.153221688
drinking,26,3.307692308,2.311176856
drip,23,2.217391304,1.412815427
drive,23,2.565217391,2.191431391
driver,23,4.565217391,1.236787884
driving,23,3.565217391,2.351519566
drizzle,25,3.56,1.781385229
drizzly,24,1.5,0.884651737
drone,24,4.291666667,1.731527766
droop,25,1.68,0.988264472
drop,25,3.08,2.196967607
dropkick,28,3.142857143,2.138089935
droplet,25,3.96,2.051016008
dropping,25,2.64,1.84571576
droppings,27,3.740740741,1.992149836
drought,25,1.92,1.525341492
drove,23,2.260869565,1.763709709
drown,25,2.48,2.103964512
drowsy,24,1.916666667,1.31601066
drug,24,5.375,1.813296302
druggist,23,3.608695652,1.924462863
drugstore,23,5.260869565,2.004934624
drum,25,5.8,1.632993162
drumbeat,24,2.458333333,1.84105751
drumstick,24,5.708333333,1.601063958
drunk,29,2.379310345,1.840298755
drunkard,28,4.571428571,1.596954774
dry,24,2,1.474419562
dryer,25,5.56,1.894729532
drywall,24,5.208333333,1.887698545
dual,25,2.08,1.705872211
dub,22,2.045454545,1.495302891
duck,24,5.041666667,1.988645304
ducking,24,2.541666667,2.021174146
duckling,24,5.125,1.701980943
duckweed,20,4.4,1.93036675
duct,24,4.208333333,1.887698545
ductwork,23,4.52173913,2.086091718
dud,25,1.48,1.004987562
dude,25,5,1.683250823
due,23,2.217391304,2.066101329
duel,24,2.875,1.848912724
duffel,21,4.380952381,2.268836496
dug,22,2.727272727,1.723280874
duke,27,3.740740741,2.067934544
dull,24,1.791666667,1.382473104
dumbbell,24,5.958333333,1.301476308
dumbwaiter,25,4.44,1.804623691
dummy,23,3.869565217,2.321918247
dump,25,2.8,1.802775638
dumpling,23,4.826086957,2.552221384
dunce,21,2.523809524,1.631534481
dune,24,3.916666667,1.558055272
dung,24,4.125,2.049655326
dungeon,27,3.777777778,2.118296364
dunghill,20,3.5,2.236067977
dunk,25,2.48,1.686218649
duplex,27,3.444444444,2.172083957
dusk,27,1.333333333,0.877058019
dust,29,4.827586207,1.833594548
dustbin,24,5.708333333,1.458980188
duster,25,5.32,1.77294482
dusty,25,2.92,1.934769581
duty,23,1.782608696,1.04257207
dwarf,24,4.333333333,2.407717062
dwarfish,23,2.652173913,1.773765785
dwell,24,2.666666667,1.926173649
dwelling,28,4.857142857,1.757824533
dye,23,4.52173913,2.019666156
dyeing,23,2.826086957,2.014767614
dynamite,23,5.260869565,1.543826159
each,24,1.25,0.531609533
eagle,23,3.739130435,1.684620036
ear,23,6.652173913,0.647280721
earl,23,2.739130435,1.982133637
earmuff,23,6.260869565,1.286905778
earnings,25,3.44,2.103172207
earphone,23,5.52173913,1.675208677
earpiece,25,5.76,1.690167645
earplug,27,6.111111111,0.891555828
earplugs,24,6.541666667,0.931532943
earring,28,6.428571429,0.920087412
earth,27,5.555555556,1.577079417
earthling,23,4.130434783,2.095543926
earthquake,25,2.92,2.1
earthworm,24,4.916666667,1.815792237
earthy,26,1.769230769,1.21021295
earwax,24,5.041666667,2.17653827
ease,23,1.652173913,1.335143699
easel,25,4.72,2.051828453
east,25,1.64,1.254325848
eastward,28,2.285714286,1.536160265
eat,24,3.125,2.490198176
eater,24,3.916666667,2.518050776
eating,23,3.652173913,2.423534152
eavesdropper,22,2.909090909,1.823369223
ebony,25,2.4,1.957890021
echo,25,2.2,1.707825128
eclair,24,6.166666667,1.403928236
eclipse,23,1.391304348,0.940943938
ecologist,24,4.458333333,2.146365313
economy,23,2.434782609,2.063229749
ecosystem,22,3.727272727,1.93173542
eczema,24,4.208333333,1.768791449
edema,24,2.791666667,1.614584794
edge,25,3.6,2.34520788
edibles,28,5.428571429,1.772810521
edifice,19,3.052631579,1.544656891
edit,24,1.458333333,1.062366786
editor,24,4.5,1.911066172
education,23,3.043478261,2.184204887
educator,25,5,1.936491673
eel,26,4.653846154,1.853479057
effect,25,1.6,1.08012345
effigy,22,3.272727273,2.1861429
effort,22,2.454545455,2.176219368
egg,29,6.068965517,1.334461756
eggbeater,25,5.96,1.540562668
eggplant,26,5.807692308,1.265519048
eggshell,24,5.791666667,1.503016291
eight,25,1.76,1.762573876
ejaculate,25,3.96,2.605762844
ejaculation,27,4.148148148,2.070000069
eject,26,2,1.833030278
ejector,23,2.956521739,2.099312893
elastic,26,3.576923077,1.858452624
elbow,24,6.458333333,0.883627241
electric,28,3.714285714,2.290999181
electrician,24,4.625,1.610090465
electricity,25,3.08,2.215851981
electrocardiogram,23,4.347826087,1.84904633
electrocute,23,1.695652174,1.459600898
electrocution,23,2.608695652,2.016728459
electrolysis,23,3.304347826,2.141256696
electromagnet,28,3.214285714,1.950444258
electronics,25,5.12,2.047763007
electroplate,18,4,2.029198625
electroshock,26,3,2.039607805
elegant,24,1.708333333,1.301476308
elephant,25,4.36,2.099206199
elevation,24,1.791666667,1.444003091
Elevator,742,5.486522911,1.566073
elf,23,2.304347826,1.844766125
elk,23,4.130434783,1.816699
elves,29,2.689655172,2.253623246
embalm,26,2.5,1.923538406
embalmer,24,4.083333333,2.20506663
embankment,25,3.64,1.84571576
emblem,25,2.76,1.854723699
emboss,23,1.913043478,1.534839153
embrace,24,4.166666667,2.530967622
embroider,25,3.16,2.26715681
embroidery,25,4.12,1.877942136
emerald,24,4.833333333,1.857222486
emerge,27,2.037037037,1.786304339
emergency,24,1.416666667,0.653862548
emotion,25,2.44,1.938212235
emperor,23,3.52173913,2.293658555
emphysema,22,2.954545455,2.058137686
empire,26,2.923076923,1.916727981
employee,22,5.045454545,1.785584411
employer,24,5.291666667,1.756458063
emporium,22,3.136363636,1.807272466
empty,25,1.72,1.568438714
emu,23,3.956521739,2.099312893
enamel,23,4.652173913,1.991086858
encampment,23,3.52173913,2.086091718
enclosure,26,3.615384615,2.118054259
encore,25,2.04,1.567375726
encyclopedia,25,6.16,1.143095213
end,27,1.666666667,1.270977819
enemy,24,4.375,2.017585729
engage,23,2.608695652,2.016728459
engagement,25,1.6,1
engine,24,5.333333333,1.403928236
engineer,29,5.379310345,1.567841854
engraved,23,2.695652174,1.893404404
engraver,24,3.791666667,1.887698545
engraving,24,3.958333333,1.876146992
enlist,24,1.791666667,1.215092291
enormous,25,1.96,1.645195024
enroll,22,1.727272727,1.279204298
ensemble,27,3.740740741,1.872731296
enshroud,16,1.875,1.204159458
enter,25,1.76,1.234233905
enterprise,23,2.260869565,1.814522008
entertainer,28,4.964285714,1.73166892
enthusiasm,20,2.55,2.01246118
entomologist,24,4.583333333,1.931808494
entourage,27,3.740740741,2.158927665
entrails,22,3.136363636,1.884661257
entrance,24,3.5,1.933683127
entranceway,25,4.08,2.215851981
entree,25,5.28,1.83757086
entry,25,3,2.101586702
envelop,23,3.695652174,2.670287397
envelope,25,5.64,1.729161647
environment,23,4.52173913,1.950980295
environmentalist,29,4.482758621,2.028734469
envoy,21,3,1.949358869
enzyme,25,3.2,2.179449472
epidermis,22,5.636363636,2.19404941
epitaph,20,2.1,1.293709477
equal,25,1.6,1.58113883
equation,25,2.76,2.241279397
equator,23,1.869565217,1.324741753
equipment,25,5.28,1.671326818
erase,28,3.25,2.011540777
eraser,24,5.791666667,1.718927033
erect,25,3.52,2.365022903
erection,25,5.4,2.121320344
errand,24,2.583333333,2.145098896
error,24,1.333333333,0.761386988
erupt,25,1.4,0.707106781
eruption,24,2.416666667,1.639635873
escalator,25,5.52,1.417744688
escape,23,2.304347826,1.869243469
escort,24,3.875,2.091650066
espresso,25,5.24,1.738773514
esquire,25,2.92,1.891207727
essay,24,4.333333333,2.078182037
essence,24,1.666666667,1.16718415
estate,25,3.72,1.671326818
estimate,22,2.5,1.994038735
estuary,17,2.352941176,1.45521375
etch,26,2.076923077,1.412036173
eternity,25,2,1.527525232
ether,24,2.166666667,1.659404468
ethyl,20,2.8,2.041671142
etiquette,23,1.52173913,0.994053466
eucalyptus,19,4.157894737,1.675415633
evade,25,1.92,1.288409873
eve,23,1.695652174,1.39592858
even,22,1.590909091,1.181568405
evening,23,2.260869565,1.629762707
evergreen,27,4.444444444,2.025478734
every,23,1.47826087,0.947223945
evict,23,1.52173913,1.162660164
exam,25,3.48,1.82847842
examination,26,2.846153846,1.826303539
examiner,23,4.565217391,1.949967062
excavate,26,2.615384615,1.919935896
excavator,22,4.409090909,1.816828501
exchange,24,2.041666667,1.756458063
excite,26,2.538461538,2.139733988
excitement,26,1.769230769,1.531213697
exclude,22,1.590909091,1.181568405
excrement,25,4.56,2.292742172
execution,29,2.344827586,1.876087534
executioner,25,4.44,2.292742172
exercise,24,3.333333333,2.239306311
exhalation,22,2.909090909,2.091003198
exhale,23,2.434782609,1.949967062
exhaust,23,2.565217391,1.902775173
exhume,25,2.44,1.804623691
exit,24,3.208333333,2.105462185
expand,25,1.72,1.594783162
expansion,25,1.96,1.593737745
expect,25,1.76,1.3
expel,22,1.545454545,0.800432783
expense,27,1.444444444,1.012739367
expenses,25,2.72,1.989974874
experimenter,25,4,2.254624876
expert,23,3.130434783,2.221881836
expire,28,2.428571429,1.730522752
explode,23,2.260869565,1.789296238
explore,20,2.4,1.875043859
explorer,23,3.260869565,1.763709709
explosion,27,2.481481481,1.7180125
export,24,3.041666667,2.095111633
expose,21,2.333333333,1.852925615
expressway,26,3.384615385,1.790573608
extend,29,1.793103448,1.611993228
extinct,23,1.782608696,1.444630237
extinguisher,23,5.043478261,2.055552588
extra,24,1.541666667,1.284664283
extract,25,2.52,2.043689474
extractor,22,2.909090909,1.925000703
extreme,23,1.608695652,1.117591991
eye,25,5.72,1.696073898
eyeball,27,5.555555556,1.761409692
eyebath,19,4.368421053,2.454259932
eyedrop,25,5.48,1.710750323
eyeglass,24,5.958333333,1.197067673
eyeglasses,25,6.28,1.429452109
eyelash,26,5.423076923,1.901011876
eyeless,24,2,2
eyelid,23,5.52173913,2.253675084
eyepiece,25,5.8,1.414213562
eyesight,29,2,1.908627031
eyesore,27,2.666666667,2
eyewash,25,5.4,1.914854216
eyewitness,28,3.821428571,1.678923187
fabric,25,6.08,1.441064421
facade,24,1.958333333,1.428869017
face,21,5.857142857,1.492840055
facial,25,3.2,2.466441431
facilities,24,3.666666667,2.035909511
fact,23,1.304347826,0.764840008
faction,22,1.318181818,0.716231117
factor,27,1.592592593,1.217161239
factory,25,4.44,1.685229955
fag,25,4.8,2.254624876
faggot,27,3.074074074,2.164857891
fail,23,1.739130435,1.421183607
failure,27,1.703703704,1.612804886
faint,29,2.206896552,1.800383101
fainter,25,3.52,2.329520695
fainting,25,2.32,1.864582169
fair,27,2.074074074,1.774302158
fairground,23,4.608695652,1.587998467
fairy,24,2.083333333,1.717345441
fake,27,1.37037037,0.791694781
falcon,27,3.259259259,1.76706172
falconer,20,3.25,1.888329811
fall,29,2.310344828,2.001846438
falling,23,3.260869565,2.071832551
family,24,5.291666667,2.216129934
famine,24,1.666666667,1.16718415
fan,25,5.72,1.458309524
fanfare,23,1.956521739,1.491742754
fang,22,3.772727273,2.022064437
fantastic,24,1.333333333,0.916831342
far,25,1.44,0.960902354
farm,28,5.035714286,1.55115591
farmer,25,5.08,1.754042949
farmhand,25,4.4,1.683250823
farmhouse,29,5.068965517,1.624170876
farmland,25,4.24,1.920937271
farmyard,23,4.130434783,1.914166038
farther,23,1.434782609,0.895751942
fashion,24,3.625,2.261444325
fast,23,1.608695652,1.076151833
fastener,23,4.347826087,2.036233056
fat,24,4.125,2.132818099
fatal,26,1.269230769,0.724303379
father,28,6.035714286,1.201300001
fatigue,24,2.166666667,1.970801352
fatty,27,2.259259259,1.831195335
faucet,23,5.869565217,1.546384282
fauna,19,5,1.825741858
favor,25,2.04,1.428285686
fawn,28,4.535714286,2.063476801
fear,25,1.88,1.452583905
feast,26,4.384615385,1.898987585
feat,22,1.681818182,1.210523839
feather,23,5.260869565,1.601629605
featherbed,23,5.434782609,1.926515624
feathered,24,2.208333333,1.587427963
featherweight,25,2.64,1.604161255
feathery,24,2.625,2.017585729
feature,25,2.12,1.235583533
fed,28,2.035714286,1.643892014
fedora,24,6.291666667,0.999093792
fee,27,1.888888889,1.339728254
feeble,22,1.818181818,1.622354657
feed,24,3,1.817786518
feeding,25,3.64,2.497999199
feel,23,2.695652174,2.265046309
feline,24,5.458333333,1.718927033
fell,24,2.666666667,2.078182037
fellow,24,4.041666667,1.944427191
felon,27,4,1.818706218
felt,25,3.52,2.043689474
female,29,5.689655172,1.872802489
femme,21,2.047619048,1.716863142
femur,22,4.5,2.405351177
fence,27,5.62962963,1.522855318
fencer,27,4.148148148,1.854385731
fender,24,4.791666667,1.99954705
Fern,731,5.005471956,1.843901
ferret,25,5,1.554563176
ferry,27,4.148148148,1.915597993
ferryboat,24,5.083333333,1.558055272
ferryman,24,3.583333333,2.019829237
fertile,25,1.92,1.681269362
fertilize,24,2.541666667,1.99954705
fertilizer,23,5.217391304,1.677566466
fester,21,1.904761905,1.48002574
festival,28,4.5,1.914854216
festive,25,2.36,1.604161255
fetch,25,2.84,2.192411154
feud,26,1.961538462,1.636600604
fever,21,3.095238095,2.211442107
feverish,23,2.47826087,1.903813523
few,24,1.583333333,1.176459932
fiancee,23,5.652173913,1.84904633
fiber,24,3.708333333,2.216129934
fibrous,22,2.318181818,1.756250433
fiddle,23,6.043478261,1.551487874
field,25,4,1.892969449
fieldstone,21,4.761904762,1.997617629
fieldwork,25,3.8,2.273030283
fiend,24,3.083333333,1.954185401
fierce,24,1.416666667,1.100065874
fiesta,27,2.037037037,1.480163231
fifth,25,1.88,1.53622915
fig,24,5.083333333,1.612900888
fight,24,2.5,1.641844138
figure,23,4.217391304,1.929590671
figurine,24,5.791666667,1.382473104
filament,21,3.428571429,2.014235055
file,24,5.041666667,2.095111633
fill,24,1.916666667,1.282547284
fillet,25,4.32,1.95192213
film,25,4.32,1.62583312
filmstrip,25,4.12,2.278888618
filmy,25,1.84,1.280624847
filter,25,3.96,2.091251619
filth,25,2.96,1.925270544
filthy,25,2.08,1.800925688
fin,27,4.185185185,2.321091206
final,25,2.04,1.836663642
finalist,23,2.956521739,2.364092385
finance,25,2.2,1.892969449
finch,27,3.703703704,1.588778312
find,25,2.4,1.936491673
fine,25,1.88,1.36381817
finger,27,6,1.709700829
fingerboard,20,5.15,2.084403234
fingered,25,3.32,2.249444376
fingering,21,3.428571429,2.314550249
fingernail,25,5.88,1.855622088
fingerprint,24,4.291666667,2.440227478
fingerprinting,23,3.434782609,2.128296095
fingertip,28,5.928571429,1.653919507
finish,26,2.192307692,1.918733557
fir,22,4.272727273,1.956231026
fire,24,4.208333333,2.063748524
firearm,27,5.814814815,1.77670908
fireball,24,2.666666667,1.903467469
firebird,22,3.818181818,2.21759981
firebomb,23,3.652173913,2.102135184
firebox,22,4.363636364,2.127942323
firecracker,24,4.916666667,1.931808494
firelight,24,3.541666667,2.283764373
fireplace,24,5.458333333,1.413572922
firepower,26,1.807692308,1.414757386
fireproofing,29,2.206896552,1.698303993
fireside,24,3.333333333,1.578845662
firestorm,24,2.333333333,1.833662685
firetrap,22,3.590909091,2.130483757
firewater,24,3.791666667,2.12601212
firewood,25,5.72,1.594783162
firework,23,4.173913043,2.166945356
fireworks,24,4.208333333,1.84105751
firm,25,2.36,1.729161647
firmness,22,2.045454545,1.863873916
first,26,2.461538462,2.176800758
firstborn,27,4.518518519,2.082350195
fish,27,5.592592593,1.393922503
fishbone,23,5.173913043,1.874522337
fisherman,27,4.851851852,1.657238289
fishery,24,3.416666667,1.909169331
fishmonger,20,3.95,2.187885304
fishpond,24,4.791666667,1.864523874
fishy,25,1.8,1.58113883
fissure,20,3.3,1.976173868
fist,25,6.08,1.6563011
fit,22,2.590909091,1.943465018
fitness,23,2.565217391,2.370770626
five,29,1.689655172,1.605869775
fix,24,2.125,1.596531567
fixture,24,5,1.38312815
fizz,25,2.8,1.779513042
fizzy,23,2.043478261,1.718304155
flabby,24,2.5,2
flaccid,22,2.590909091,2.108013981
flag,27,5.851851852,1.321528943
flagpole,28,4.785714286,1.663489034
flagship,22,3,1.718249386
flagstaff,23,3.826086957,2.166945356
flagstone,24,4.083333333,1.863065885
flail,23,3.434782609,2.332109598
flake,22,3.454545455,1.844613077
flaky,25,2.48,2.084066538
flamethrower,27,4.740740741,2.049251131
flamingo,27,4.185185185,2.131035087
flammable,24,2.083333333,1.639635873
flank,24,2.875,1.872280637
flannel,23,4.869565217,2.201329099
flannels,22,5.681818182,1.585240364
flap,28,3.714285714,2.034100818
flapjack,25,5.2,1.683250823
flare,24,3.541666667,1.99954705
flares,24,3.666666667,2.057154359
flash,22,2.681818182,1.701158251
flashbulb,24,4.375,1.689159812
flashing,24,2.125,1.569062307
flashlight,23,5.869565217,1.686964671
flask,24,5.416666667,1.863065885
flat,25,2.2,1.5
flatfoot,22,3.136363636,1.934534632
flatiron,22,5.590909091,1.763629669
flatland,25,3.64,1.976528944
flatten,23,2.130434783,1.765949341
flattop,24,3.291666667,1.517411029
flatulence,21,3.095238095,2.119074371
flatulent,25,2.88,2.297099621
flavor,24,3.125,2.232419238
flavorings,24,3.25,2.005427418
flaw,24,2.083333333,1.585715218
flaxseed,27,5.037037037,2.174705665
flea,23,4.086956522,1.831865504
fleck,20,3,1.863782233
fled,24,1.583333333,1.017954755
flee,23,1.956521739,1.26052878
fleece,24,4.5,1.587998467
Fleet,736,2.747282609,1.733619
flesh,23,4.782608696,2.31509909
fleshy,25,2.36,2.038790491
flew,24,1.5,0.884651737
flex,25,2.72,1.947648154
flexible,27,2.037037037,1.764641639
flick,28,2.5,1.914854216
flicker,24,2.208333333,1.667572218
flier,25,3.76,2.222611077
flight,24,2.833333333,1.970801352
flimsy,27,2.777777778,1.761409692
flinch,25,1.96,1.4571662
flinching,27,1.777777778,1.527525232
fling,22,2.272727273,1.85631017
flint,26,4.192307692,1.939468603
flintstone,22,2.954545455,1.785584411
flip,25,3.04,1.813835715
flipper,25,4.08,2.234576768
flirt,25,2.8,2.179449472
float,25,2.8,1.755942292
floater,24,3.5,1.865009616
floating,24,2.083333333,1.558055272
flock,24,3.083333333,1.411649256
flog,23,2.347826087,1.897574903
flogging,26,2.423076923,1.814895632
flood,25,2.92,1.846618531
flooded,24,2,1.444630237
floodgate,21,3.095238095,1.70014005
flooding,25,2.48,1.82847842
floodlight,25,3.6,2.020725942
floor,24,5.666666667,1.659404468
floorboard,24,5.791666667,1.614584794
flooring,23,4.565217391,2.351519566
floozy,24,2.666666667,1.992740448
flop,24,1.875,1.541103501
floppy,25,2.96,1.989137166
floral,24,2.708333333,1.921936674
florist,27,4.444444444,2.006400016
floss,24,5.166666667,1.926173649
flotation,24,2.541666667,1.768791449
flounder,23,4.52173913,2.042048108
flour,24,5.875,1.483606065
floury,23,1.782608696,1.241572381
flow,24,2.541666667,1.933214639
flower,24,5.916666667,1.380506103
flowerbed,24,5.041666667,1.627993341
flowered,25,2.24,1.809235566
flowering,25,2.48,1.82847842
flowerpot,24,5,1.956038588
flowery,23,2.52173913,2.064187386
flown,27,1.62962963,1.181529262
flu,24,2.291666667,1.731527766
fluff,22,3.136363636,1.983154163
fluffy,28,3.75,2.066039331
fluid,26,4.923076923,1.916727981
flung,25,2.28,2.051828453
fluorescent,24,1.75,1.45213486
fluoride,23,3.695652174,1.987112629
flush,25,2.88,2.088061302
flute,24,5.75,1.567329493
flutist,23,4.043478261,2.120854478
flutter,27,2.851851852,1.854385731
flux,23,1.869565217,1.289973496
fly,23,3.826086957,1.96912934
flycatcher,24,5.375,1.555145736
flyer,27,3.962962963,2.120984559
flying,26,2.153846154,1.689788334
flyover,24,1.666666667,1.090140265
flypaper,27,5.037037037,2.084401436
flyswatter,27,5.703703704,1.588778312
flywheel,22,4,1.772810521
foal,24,4.125,1.825245665
foam,23,3.652173913,1.92137961
foaming,24,2.291666667,1.706233244
foamy,25,2.6,1.825741858
fog,23,2.47826087,1.647851638
foggy,25,2.12,1.394034911
foghorn,24,4.583333333,1.909169331
fold,27,2.555555556,2.025478734
folded,28,3.535714286,2.027261295
folder,23,6.260869565,1.176179922
foliage,25,4.6,1.779513042
folk,24,3.208333333,2.063748524
follicle,23,3.695652174,2.119922439
follow,23,1.826086957,1.52709391
fondue,25,4.92,1.891207727
font,25,2.12,1.615549442
Food,742,6.470350404,1.108699
foodstuff,26,4.846153846,1.890868746
fool,25,3.28,2.092048438
foot,23,6,1.59544807
footage,26,3.153846154,2.110778201
football,25,6.12,1.12989675
footballer,24,5.041666667,1.921936674
footbath,22,5.090909091,1.341963413
footboard,23,5.086956522,1.755848499
footbridge,27,4.777777778,1.783111656
footer,22,2.863636364,1.909760757
foothill,25,2.92,1.934769581
foothold,23,3.347826087,2.207604536
footing,24,3.166666667,2.057154359
footman,23,4.782608696,1.650248514
footpad,24,5.041666667,1.805286119
footpath,27,4.592592593,1.575271875
footplate,24,4.875,2.091650066
footprint,24,3.625,1.837117307
footrace,24,3.083333333,2.083405796
footsie,24,3.083333333,2.339019986
footstep,25,3.28,2.406934426
footsteps,26,3.615384615,2.118054259
footstool,23,6.304347826,1.105144277
footwear,23,6.434782609,0.945135246
for,27,1.592592593,1.599501347
force,26,2.307692308,1.954875562
forceps,23,4.869565217,1.86606898
ford,24,4.416666667,2.282574189
fore,22,2.272727273,1.517573821
forearm,23,5.782608696,1.905888524
forefinger,25,5.16,2.24870333
forehead,27,5.777777778,1.928198309
forest,25,4.6,2.061552813
forestry,23,3.043478261,2.099312893
forfeit,24,1.833333333,1.340560125
forge,28,3.642857143,1.889822365
forger,27,2.518518519,1.311791798
fork,25,5.6,2
forked,21,1.80952381,1.249761882
forkful,24,3.916666667,2.22469669
forklift,24,5.541666667,1.382473104
form,25,3.32,1.994158135
formal,25,2.04,1.790716802
formaldehyde,24,3.125,1.848912724
format,23,1.565217391,0.843482336
formation,23,2.47826087,2.273754708
fornication,23,3.695652174,2.40141592
fort,23,4.173913043,1.92240791
fortress,25,3.08,2.139314532
fortune,22,2.272727273,1.695422919
forum,25,2.08,1.441064421
forward,23,1.869565217,1.455533261
fossil,27,4.925925926,2.055497805
fought,24,2.208333333,1.718927033
found,23,1.652173913,1.228772323
foundation,25,3.16,1.907878403
founder,27,2.555555556,1.310705428
fountain,24,5.208333333,1.768791449
fountainhead,21,4.523809524,2.015416771
four,25,1.4,1.040833
foursome,24,3.083333333,1.998187585
fox,26,4.115384615,1.861760953
foxhound,23,4.347826087,2.013786475
foxhunt,24,2.625,1.995919751
foxtrot,23,2.608695652,1.971135585
foyer,25,3.72,1.768238295
fraction,24,1.458333333,0.883627241
fracture,23,3.260869565,1.737746485
fragile,26,1.961538462,1.611974422
fragment,22,3,1.690308509
fragrance,24,3.208333333,2.105462185
fragrant,25,2.12,1.691153453
frail,23,2.173913043,1.669299633
frame,23,4.956521739,1.965110704
framer,25,3.56,1.894729532
framing,22,2.318181818,1.644221154
frank,23,2.782608696,1.881887876
frankfurter,24,5.708333333,1.601063958
frankincense,20,3.5,2.236067977
fray,23,2.086956522,1.59296874
frayed,23,1.608695652,1.196173081
fraying,25,2.12,1.641137817
freak,26,3.038461538,1.731606635
freckle,24,3.583333333,2.244155049
freckled,23,2.347826087,1.695145359
freckles,23,3.434782609,2.27288537
free,25,1.56,1.15758369
freebie,23,2.043478261,1.460954261
freeloader,23,2.913043478,1.880837422
freemason,24,3.291666667,2.115762103
freeze,25,2.44,1.827566688
freezer,23,5.260869565,1.629762707
freezing,24,2.916666667,2.301543276
freighter,27,4.185185185,2.202045151
fresh,25,2.2,1.779513042
freshman,25,3.96,2.051016008
fret,23,2.652173913,2.288482936
friar,18,4.055555556,2.208865086
friction,27,2.333333333,1.921537846
fridge,24,6.166666667,0.916831342
friend,23,5,2.088931871
fright,25,1.72,1.242309677
frigid,23,1.608695652,1.305203935
frill,21,2.80952381,1.88730092
fringe,24,2.958333333,1.876146992
fringed,24,1.833333333,1.464557113
frisk,21,3.333333333,2.330951165
frizz,24,2.333333333,1.659404468
frizzy,24,1.75,1.259744626
frog,24,5.125,1.825245665
frolic,24,2.166666667,1.785610763
front,23,2.260869565,1.51409713
frontier,25,2.44,1.609347694
frontiersman,23,3.652173913,2.058434879
frost,23,3.826086957,1.72289856
frostbite,26,3.5,2.213594362
frosted,24,2.375,1.689159812
frosting,25,5,1.825741858
frosty,26,2.307692308,1.643635745
froth,23,2.695652174,1.769303474
frothing,24,1.916666667,1.380506103
frown,23,2.52173913,2.064187386
frowning,27,2.888888889,2.207214279
froze,24,1.833333333,1.434563005
frozen,25,2.56,1.938212235
fruit,27,6,1.441153384
fruitcake,23,6,1.566698904
fruity,29,1.655172414,1.470565053
fry,25,3.64,2.580051679
fryer,24,5.541666667,1.284664283
fudge,25,5.68,1.281925635
full,27,1.259259259,0.655895899
fullback,21,3.047619048,1.883512423
fumble,27,1.851851852,1.133534422
fume,23,2.173913043,1.302172098
fun,23,2.043478261,1.845837107
function,23,1.956521739,1.460954261
fund,21,2.666666667,1.852925615
funeral,23,2.434782609,1.674028537
fungicide,26,3.384615385,1.790573608
fungus,25,4.32,2.035517952
funnel,24,4.833333333,2.035909511
furlough,24,1.791666667,1.587427963
furnace,25,4.68,1.651262144
furnish,24,2.833333333,2.200131748
furnished,25,2.04,1.27410099
furnishing,26,4.115384615,2.160128201
furnishings,24,6.166666667,1.434563005
furniture,25,6.56,1.193035345
furry,24,2.541666667,1.718927033
fury,24,1.583333333,1.138903617
fuse,24,4.083333333,2.083405796
fused,24,2.125,1.962972458
fusion,23,1.956521739,1.330695678
fuss,23,1.695652174,1.459600898
future,26,2.346153846,2.171493637
fuzz,26,3.884615385,2.214983938
fuzzy,25,2.68,1.842100251
gab,23,2.217391304,1.881887876
gadget,25,5.52,1.29486164
gag,25,3.36,2.138535324
gait,23,2.869565217,2.180582654
gala,26,3.192307692,2.020281778
galaxy,24,1.833333333,1.372609912
gale,23,2.130434783,1.455533261
gall,23,1.782608696,1.412815427
gallant,23,1.608695652,1.269900871
gallbladder,23,3.652173913,2.16603315
gallery,24,3.25,1.870828693
galley,23,2.608695652,1.876629727
gallon,26,2.461538462,1.605758867
gallop,23,2.043478261,1.870300435
galloping,25,2.12,1.715614564
gallows,24,3.083333333,1.612900888
gallstone,23,3.434782609,2.085144141
gamble,22,2.681818182,2.009178075
gambler,24,4.416666667,2.282574189
game,27,4.518518519,2.225211664
gamekeeper,24,3.916666667,1.665941871
gander,23,1.913043478,1.474419562
gang,25,3.6,1.957890021
gangrene,23,2.739130435,1.286905778
gangster,25,4.36,2.059126028
gap,24,2.375,1.689159812
gape,23,1.608695652,1.157549545
garage,25,4.96,1.71949605
garb,24,4.541666667,2.264646372
garbage,25,4.96,1.968078589
garden,23,5.913043478,1.311246578
gardener,24,4.958333333,1.781039429
gardenia,21,4.476190476,1.939563034
gardening,25,3.88,2.554734168
gargle,26,3.423076923,2.119869372
gargoyle,23,2.782608696,2.02162225
garland,24,5.166666667,1.711004451
garlic,25,6.32,1.144552314
garment,23,5.826086957,1.669299633
garnets,20,4.65,1.694418081
garnish,25,4.08,2.1
garter,21,4.904761905,1.813966976
gas,23,3.652173913,1.668115312
gash,24,2.958333333,2.053187695
gashes,24,3.208333333,1.864523874
gasket,26,4.846153846,2.166883618
gaslight,24,2.791666667,1.614584794
gasp,23,1.956521739,1.460954261
gate,23,5.956521739,1.296087149
gatehouse,28,4.464285714,1.426784597
gatekeeper,25,4.44,2.2
gateway,24,3.791666667,1.99954705
gather,24,1.833333333,1.16718415
gator,24,4,1.888178326
gauge,25,3.44,2.022374842
gaunt,22,2.090909091,1.305996825
gauntlet,24,4.125,2.091650066
gauze,25,5.88,1.30128142
gavel,22,4.545454545,2.154226692
